date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak,score
2025-09-29,wSOL,Wrapped SOL,So11111111111111111111111111111111111111112,207.54,144506624.87,53344025.48,0.0,dexscreener,ok,0,7.9867669738983835
2025-09-29,ELIZABETH,Just Elizabeth Cat,DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,0.001568,521067.28,211696.44,1219193.0,dexscreener,ok,0,5.560423024290767
2025-09-29,XBT,XBT,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,0.002555,283020.61,475779.51,2554143.0,dexscreener,ok,0,5.542054417305536
2025-09-29,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,0.0019,164467.21,206230.09,1900200.0,dexscreener,ok,0,5.255390834335052
2025-09-29,LION,Loaded Lions,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,0.01551,35170.11,2013161.17,77567107.0,dexscreener,ok,0,5.249263149250415
2025-09-29,RAGEGUY,Rage Guy,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,0.00133,142826.37,177278.83,1330012.0,dexscreener,ok,0,5.1923505941790165
2025-09-29,AI4,AI⁴,CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,0.0004034,173874.19,117653.57,403457.0,dexscreener,ok,0,5.17238609091495
2025-09-29,CHARLIE,RIP CHARLIE KIRK,CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,0.0005004,149764.64,140573.37,500416.0,dexscreener,ok,0,5.164409770374871
2025-09-29,USDUT,unstable tether,3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,0.0005819,141408.02,152977.3,581787.0,dexscreener,ok,0,5.164138199680342
2025-09-29,FARTLESS,FARTLESS COIN,FyrBf5xKg5EwKZ9pHvSpJeLLuCWBicTpm3VvZcsibonk,0.0008816,89874.6,196176.19,881691.0,dexscreener,ok,0,5.089244485423392
2025-09-29,DREAM,Dreamsync,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.001718,85212.24,180439.13,1718936.0,dexscreener,ok,0,5.060837499613985
2025-09-29,CRND,Crundle,BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,0.0005435,114461.75,104000.44,541704.0,dexscreener,ok,0,5.042014246473559
2025-09-29,HAROLD,Harold,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,0.003819,13436.62,551984.94,3819193.0,dexscreener,ok,0,4.773764619622761
2025-09-29,67,67coin,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,0.0001142,53436.39,55833.12,114079.0,dexscreener,ok,0,4.735467013100969
2025-09-29,1nu,1nu,44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,0.0001659,49258.45,50516.97,165909.0,dexscreener,ok,0,4.696872091349158
2025-09-29,early,not wrong just early,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,0.0003064,36584.49,71373.13,306377.0,dexscreener,ok,0,4.6794016566414705
2025-09-29,gib,gib,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,0.0005155,17064.78,178704.87,515520.0,dexscreener,ok,0,4.640131212879975
2025-09-29,Useless,Useless Coin,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,8.499e-05,28755.78,43110.84,84988.0,dexscreener,ok,0,4.529082776473088
2025-09-29,walkusa,WALKING ACROSS AMERICA,3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,0.00014,25075.48,50402.34,140036.0,dexscreener,ok,0,4.520543671008924
2025-09-29,RUECAT,Rue Cat,AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,0.0006149,11467.41,95649.71,439145.0,dexscreener,ok,0,4.42797720567614
2025-09-29,VIBECODER,Vibe Coding Meta,7PzU4m13VqkdgWcserfBdxX4cAPQXaZuFNuKarnT1deV,0.0001356,16166.26,52796.41,131600.0,dexscreener,ok,0,4.414226901007564
2025-09-29,USEFUL,USEFUL COIN,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,0.0001647,10141.25,87796.51,164703.0,dexscreener,ok,0,4.381073466527434
2025-09-29,BAR,BullArena,Et2bFLuPCW77hGW2g7UdrboPVuxatFZt4BaCzhCqpump,0.0002886,9681.29,65456.0,288629.0,dexscreener,ok,0,4.317969290590796
2025-09-29,AI20X,Ai20x.ai,DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,1.21,460.81,2731801.19,25451264.0,dexscreener,ok,0,4.1732576992592625
2025-09-29,SHITTER,SHITTERCOIN,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,4.177e-05,8924.6,26948.47,41776.0,dexscreener,ok,0,4.142602543475364
