address,symbol,name,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,_symbol,_name,data_status,date,missing_streak
LGiKAMtb4BuPdhpThjEbNWbDddqdM5FnxMMHqtzpump,nan,nan,1.178e-05,2311.04,14927.01,11785.0,dexscreener,SUPRACOIN,GIVING CAR AWAY AT 10MIL MC!,ok,2025-09-29,0
14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,nan,nan,2.641e-05,1942.53,20890.58,26143.0,dexscreener,DETECTIVE,Just can't prove it,ok,2025-09-29,0
qG9NJP4pgFxWWfpFWV7GcYkTKyafDGsnUGCDZLRpump,nan,nan,4.896e-06,1801.61,8547.31,4895.0,dexscreener,1,1 pill can change your life,ok,2025-09-29,0
9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,nan,nan,1.862e-05,1790.89,17391.74,18528.0,dexscreener,FARTWORM,FARTWORM,ok,2025-09-29,0
7N8qk43L1PCcaqudkEasGpKqcunX1ChXYo2VB1g8bonk,nan,nan,1.221e-07,1592.3,10158.54,8428.0,dexscreener,RWA,Real World Asses,ok,2025-09-29,0
8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,nan,nan,8.356e-06,1298.42,12263.0,8353.0,dexscreener,1,1 pill can change your life,ok,2025-09-29,0
DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,nan,nan,1.21,1035.12,2731801.19,25451264.0,dexscreener,AI20X,Ai20x.ai,ok,2025-09-29,0
4CBToKTRKfBsv8RMfzMr6VfKQ8PLRYeG6RFGZmq4pump,nan,nan,1.378e-05,1029.84,16734.48,13541.0,dexscreener,grandma,101 Year Old Pumpfun Livestreamr,ok,2025-09-29,0
EVGox5PPxnFqTsMXMoUBSCUhszqK6UUYf9W7pkwfpump,nan,nan,3.081e-05,556.26,22064.03,30818.0,dexscreener,1Bull,One bull run to change your life,ok,2025-09-29,0
4ky1REfghVawQ6EPZGdx7zss5KNKStwE8swjii3uU5sD,nan,nan,1.845e-05,513.33,25059.06,18447.0,dexscreener,MOCHI,MOCHI CULT,ok,2025-09-29,0
99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,nan,nan,9.305e-06,417.55,12510.17,9305.0,dexscreener,MOON,Moon Moon,ok,2025-09-29,0
6k1rwsNMBwbRJrWck3sEVCjn4MvF9ty8A6iSGfxjxREV,nan,nan,5.189e-06,234.89,4669.96,5190.0,dexscreener,APOLLO,Apollo AI,ok,2025-09-29,0
8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,nan,nan,7.649e-06,166.2,10795.57,7646.0,dexscreener,PILL,PumpFun Pill,ok,2025-09-29,0
CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,nan,nan,6.143e-06,94.36,9871.13,6143.0,dexscreener,Pochita,Pochita,ok,2025-09-29,0
CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,nan,nan,9.095e-06,48.16,11995.44,9093.0,dexscreener,7,7 Coin,ok,2025-09-29,0
4bLnK5YuJaqkVX4uWtJ1Qtx3XoZ8eHH37STXSwujpump,nan,nan,9.005e-06,48.09,13248.38,8916.0,dexscreener,DARE,DareCoin,ok,2025-09-29,0
BiTXcnGHmSvX6pwhZPmhsctjG3NjzMbTXtM2b7h5nDZC,nan,nan,1.442e-06,31.3,2834.14,1442.0,dexscreener,BITX,Mega Bitminer X,ok,2025-09-29,0
EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,nan,nan,5.782e-06,29.95,9246.78,5780.0,dexscreener,obvious,in hindsight,ok,2025-09-29,0
8D7n3WYZxUkmhUPveQU4XZdqLfDe4XLEEpPToAk4pump,nan,nan,5.984e-06,24.38,0.0,5984.88,dexscreener,1SOL,1 SOL and a dream,ok,2025-09-29,0
