rank,token_address,symbol,name,source
1,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,SOL,Solana,Fallback:Master
2,So11111111111111111111111111111111111111112,wSOL,Wrapped SOL,Fallback:Master
