address,symbol,name,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,date,missing_streak
HnhYV3WnVV5CMyJXLYWtPAmeYtCZHsdn8YCwyCCjpump,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
TarDAwtsqWLJ213YunSa1Samp3QPuvvU9FXsLSEpump,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,nan,nan,5.735e-06,213.28,9065.77,5733.0,dexscreener,ok,2025-09-28,0
GcPf1ZsZHvnjauhXoFvGMmc2gM73aJ63AYxYC6JAQVoG,nan,nan,3.927e-05,4270.63,26131.0,39270.0,dexscreener,ok,2025-09-28,0
7oBcd1aAkUjUTcfZsR3rQvnG5oMPDzjX9uDnRVn6pump,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
4w4Kj3PmKjJWpsBVCNPeziC2ySdJ6A7cPfqnhyXxpump,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,nan,nan,2.956e-05,621.57,20488.98,29561.0,dexscreener,ok,2025-09-28,0
iD9FqgeKmp58a4pTvh45MtKkHkudKNptFRdR8m6pump,nan,nan,4.893e-06,7.37,8398.87,4893.0,dexscreener,ok,2025-09-28,0
4Xs7RvaV3nbWBvb6yWjxvwPKkBxefXe1bPJcvnVspump,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
HovYQgKum9HALgJmxGdESHNjsn3xezzio5HQVgiPHo1t,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-28,0
94bmDAx9PQUZoLCG97h7kCtm1T9uzZCThuUW1cUqAXZy,nan,nan,4.764e-06,3.37,8823.64,4763.0,dexscreener,ok,2025-09-28,0
4Y6HDaV4374KstQX8qD1L35WiQDwHZaHLez8xs6GrKcf,nan,nan,5.466e-06,0.27,10454.08,5464.0,dexscreener,ok,2025-09-28,0
