address,symbol,name,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,date,missing_streak
DHSZ2zaQ2mNtTJFXH3iNUG1oWXr6ZFj4TyfqVdexpump,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-27,0
4ky1REfghVawQ6EPZGdx7zss5KNKStwE8swjii3uU5sD,nan,nan,1.91e-05,285.32,25043.61,19104.0,dexscreener,ok,2025-09-27,0
7Rw4dgDuwESJEcCAbhxAghLcmkXM5QotupWq8PPc1UeC,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-27,0
BMdxkiQTJbLjZF4on3ivYDibWVCMsriEHra469zM49hV,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-27,0
8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,nan,nan,7.847e-06,230.9,10758.08,7844.0,dexscreener,ok,2025-09-27,0
CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,nan,nan,6.119e-06,381.75,9677.5,6119.0,dexscreener,ok,2025-09-27,0
EFRoRp8wJsLy5kUZYSL95Tqp6ijVPsejWYMCn7ZjcG8L,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-27,0
3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,nan,nan,0.003749,14477.15,539354.43,3749359.0,dexscreener,ok,2025-09-27,0
7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,nan,nan,0.01548,45159.33,1984584.19,77435322.0,dexscreener,ok,2025-09-27,0
AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,nan,nan,0.0004504,7909.81,80799.14,321675.0,dexscreener,ok,2025-09-27,0
6k1rwsNMBwbRJrWck3sEVCjn4MvF9ty8A6iSGfxjxREV,nan,nan,8.094e-06,612.83,5716.02,8095.0,dexscreener,ok,2025-09-27,0
8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,nan,nan,1.032e-05,2975.67,13374.02,10317.0,dexscreener,ok,2025-09-27,0
GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,nan,nan,4.826e-05,8491.57,28708.51,48270.0,dexscreener,ok,2025-09-27,0
2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,nan,nan,0.0,0.0,0.0,0.0,none,missing,2025-09-27,0
EVGox5PPxnFqTsMXMoUBSCUhszqK6UUYf9W7pkwfpump,nan,nan,3.092e-05,2944.06,21795.37,30926.0,dexscreener,ok,2025-09-27,0
9h5y3WCqfeNt2fiAP7iM2ZRp9apFb58ipvTzcWi9pump,nan,nan,2.979e-05,2595.08,25072.56,29789.0,dexscreener,ok,2025-09-27,0
LGiKAMtb4BuPdhpThjEbNWbDddqdM5FnxMMHqtzpump,nan,nan,1.334e-05,8403.99,15613.15,13347.0,dexscreener,ok,2025-09-27,0
B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,nan,nan,0.002165,54874.03,199407.33,2165020.0,dexscreener,ok,2025-09-27,0
GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,nan,nan,0.001507,116236.85,185690.09,1507679.0,dexscreener,ok,2025-09-27,0
CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,nan,nan,0.0004706,148055.68,124623.89,470575.0,dexscreener,ok,2025-09-27,0
