address,symbol,name,liquidity_usd,volume_24h_usd,last_updated
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,Bonk,629362.59,336888.36,2025-11-03T07:18:58.008036+00:00
FL3tirWnMdh4622WyWe3gNMDioLXRBSWmnUjDn5Fpump,NOEL,noel,19920.95,633934.86,2025-11-03T07:18:58.008036+00:00
Htqe4Y2s7JH7YJpnpgGvi9sZNqfxx1uBah5Ar4b7pump,7%,the 7%,13861.7,630894.86,2025-11-03T07:18:58.008036+00:00
ETBvFrgNvQ9NnNwg9CAVQjv7XMRJZWeYVHnJYGy9pump,MOVEMBER,Movember,55977.44,589335.75,2025-11-03T07:18:58.008036+00:00
62bCaAGwq9kAbXvnHcBmJ3reJGsWHxyy589kdxP2pump,FUCK,fuckcoin,7674.84,590477.66,2025-11-03T07:18:58.008036+00:00
4wogrZJCeUVkzjQkpugzdgcDpHhGgyUoQ39RGYvP3ZVz,ZKS,ZKSend Protocol,43746.89,550797.2,2025-11-03T07:18:58.008036+00:00
7Y2TPeq3hqw21LRTCi4wBWoivDngCpNNJsN1hzhZpump,SACHI,Sachicoin,226637.12,458165.4,2025-11-03T07:18:58.008036+00:00
96CFn2pyHbEH6beKYRCrnLxAFzatBrGbU1n3HY1pump,GIGALON,gigalon,22126.45,554495.33,2025-11-03T07:18:58.008036+00:00
BAezfVmia8UYLt4rst6PCU4dvL2i2qHzqn4wGhytpNJW,AINTI,AIntivirus,368527.98,375586.85,2025-11-03T07:18:58.008036+00:00
DNH4MTv8WWpoARP2D44wAsWtWb6YnrMh8SQjXGga3Hot,GOONCOIN,gooncoin,49539.13,476666.22,2025-11-03T07:18:58.008036+00:00
USCRdwZP5UkKhJzhWuD7XjTUviHBtZJbLG7XpbKng9S,USCR,United States Crypto Reserve,823802.92,77979.26,2025-11-03T07:18:58.008036+00:00
CTkPYPMrehsREdzn2dBMCwNxbP9ExrEnoQHMgswYpump,RELO,RE-LOADED,31270.6,472222.17,2025-11-03T07:18:58.008036+00:00
42f3eHNjs8EP9dE5cvSW4e9CmyvqLMUhzJ3X4zCYpump,ONGO,Ongo,21730.37,443870.03,2025-11-03T07:18:58.008036+00:00
