date,cash,positions_value,total_value,num_positions
2025-10-02,5576.85,4423.15,10000.0,5
2025-10-03,6124.391109215017,1633.0117202008623,7757.40282941588,5
2025-10-04,5691.779138327402,3597.2210032445137,9289.000141571916,5
2025-10-05,5813.892563544236,3799.3958017931686,9613.288365337405,5
2025-10-06,5655.938594662231,3698.202111457522,9354.140706119753,5
2025-10-07,4863.1820433002895,3581.9824248353516,8445.164468135641,5
