symbol,address,volatility,ml_score,whale_score,social_score,confidence_score,risk_profile,dynamic_stop_loss,tp1,tp2,tp3,tp4,exit_pct_tp1,exit_pct_tp2,exit_pct_tp3,exit_pct_tp4,expected_return,risk_reward_ratio,updated_at
ORE,4w4Kj3PmKjJWpsBVCNPeziC2ySdJ6A7cPfqnhyXxpump,0.0434039457763723,1914.6931736263489,52.1,50,796.6122694505395,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.892152
Useless,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,1.3724837286179707,2485.5569292920845,67.9,50,1030.4877717168338,conservative,0.08,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,6.25,2025-11-11T17:47:48.892392
gib,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,0.3689599913754022,4908.029955694028,55.0,50,1994.9619822776115,moderate,0.08,0.35,0.75,1.25,2.0,0.35,0.3,0.25,0.1,0.86,10.75,2025-11-11T17:47:48.892630
Bagwork,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,0.0111363165200883,2727.897004689263,53.6,50,1122.4188018757052,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.892868
FATMEOW,6UMuZxH9jLT3txQkQo6jWXX2HpHrM1mPkGRjE66pzhEp,0.0389207965401188,1486.6105997343814,50.7,50,624.8892398937526,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.893125
BONKZ,6asZKPjABE4c7V46psw1yDrmCQBzefGtxKCzR8zmbonk,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.893343
retail,6jPg6gSrwtJyHWGTs7tUh2Zs1GzfKzHQNUGfAK1xpump,0.0528795770017983,1913.6938908835475,50.7,50,795.7225563534191,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.893584
APOLLO,6k1rwsNMBwbRJrWck3sEVCjn4MvF9ty8A6iSGfxjxREV,0.1500635703363967,1339.463047455134,50.0,50,565.7852189820537,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.893794
AMG,6rhFUUZsUbjD4tSHrLetmCuvuM3L2ASTLEAgemZtpump,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.893994
RWA,7N8qk43L1PCcaqudkEasGpKqcunX1ChXYo2VB1g8bonk,0.0819764559496235,1466.6455050098757,55.0,50,618.4082020039502,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.894252
VIBECODER,7PzU4m13VqkdgWcserfBdxX4cAPQXaZuFNuKarnT1deV,0.1353251313677476,1886.6775614355174,53.6,50,785.931024574207,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.894488
JIFFPOM,7Rw4dgDuwESJEcCAbhxAghLcmkXM5QotupWq8PPc1UeC,0.0293928453323376,1505.9323016520746,50.7,50,632.6179206608298,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.894720
LION,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,0.1817284846488892,2778.9700420005715,50.0,50,1141.5880168002286,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.894934
Jewcat,7oBcd1aAkUjUTcfZsR3rQvnG5oMPDzjX9uDnRVn6pump,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.895154
early,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,0.3289770045473033,2677.5334921204285,81.1,50,1111.8983968481712,moderate,0.08,0.35,0.75,1.25,2.0,0.35,0.3,0.25,0.1,0.86,10.75,2025-11-11T17:47:48.895396
19,8AgJibpuXYU79bMSzhBv9BCUioxYkoeRVDYz3Tjopump,0.1851087526945977,1551.7112148611259,52.1,50,651.4194859444503,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.895634
1SOL,8D7n3WYZxUkmhUPveQU4XZdqLfDe4XLEEpPToAk4pump,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.895835
viewer,8X4TnmkHzavxEJuaYTkqjFbUgrwBgaXVuRHhGFR2pump,0.1511124047906901,3288.6027836986764,50.6,50,1345.6511134794705,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.896086
1dog,8erRtd8mLgNcNoWy2bhMdTgZyXaRR6u7t2hyXRc1pump,0.1341246953992404,1911.171991559525,53.6,50,795.7287966238099,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.896328
1cat,8ghXDEBVbbYtfdV2cU8jpqsNmiZtDkSjBYmRzj8cpump,0.1300152970855053,1651.6637658077493,50.0,50,690.6655063230997,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.896527
1,8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,0.1544871924453789,2813.862854130321,50.0,50,1155.5451416521285,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.896724
PILL,8z55m3BmsPkmDfi5b5dAomBvYi1cDmW92hrEJTLdpump,0.1234798794643885,1366.7131344690247,53.6,50,577.9452537876099,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.896957
BEANIE,94bmDAx9PQUZoLCG97h7kCtm1T9uzZCThuUW1cUqAXZy,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-11T17:47:48.897181
MOON,99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,0.0287106741493146,2297.208731113116,41.1,50,945.7684924452464,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-11T17:47:48.897439
