date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak,whale_transfers_24h,large_buys,large_sells,net_whale_flow_usd,top_10_holders_pct,holder_concentration
2025-10-01,DREAM,Dreamsync,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.001823,116997.28,191646.88,1823967.0,dexscreener,ok,0,,,,,,
2025-10-01,RAGEGUY,Rage Guy,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,0.001084,65188.66,165250.29,1084547.0,dexscreener,ok,0,,,,,,
2025-10-01,LION,Loaded Lions,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,0.01617,62090.26,2118707.76,80891077.0,dexscreener,ok,0,,,,,,
2025-10-01,SHITTER,SHITTERCOIN,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,4.456e-05,62015.89,27850.99,44564.0,dexscreener,ok,0,,,,,,
2025-10-01,RUECAT,Rue Cat,AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,0.0006872,57889.22,104399.63,490795.0,dexscreener,ok,0,,,,,,
2025-10-01,1Bull,One bull run to change your life,EVGox5PPxnFqTsMXMoUBSCUhszqK6UUYf9W7pkwfpump,9.171e-05,13818.28,39217.27,91713.0,dexscreener,ok,0,,,,,,
2025-10-01,HAROLD,Harold,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,0.004002,11553.47,582527.48,4002407.0,dexscreener,ok,0,,,,,,
2025-10-01,1,1 pill can change your life,8wbfBYthc9fC4GsHgCtznZP1PAoXaZ8tnUGBtGMgpump,1.117e-05,9704.63,14555.56,11174.0,dexscreener,ok,0,,,,,,
2025-10-01,pibble,pibble,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,1.497e-05,5523.5,13479.5,14980.0,dexscreener,ok,0,,,,,,
2025-10-01,SOL,Solana,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,1593.51,2850.38,14676.54,25735246.0,dexscreener,ok,0,,,,,,
