date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,volume_7d_avg,volume_momentum_pct,volume_trend,volume_spike,volume_spike_label,price_change_pct,divergence_status,liquidity_trend_pct,liquidity_trend,momentum_signal
2025-10-07,walkusa,WALKING ACROSS AMERICA,3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,6.123e-05,5344.06,34725.19,11177.338333333333,-52.18843842220635,dead,False,,-20.428849902534118,none,-23.96472157555182,decreasing,SELL
2025-10-07,1Bull,One bull run to change your life,EVGox5PPxnFqTsMXMoUBSCUhszqK6UUYf9W7pkwfpump,3.579e-05,3226.78,24685.71,6823.860000000001,-52.71327371898017,dead,False,,-30.01564333202972,none,-18.95664066962838,stable,SELL
2025-10-07,1nu,1nu,44DNPJ2qisA7MMaUmKK5SXvAcPyV7bEzmnK7oYJkbonk,7.948e-05,38823.72,35879.99,93402.87714285715,-58.434128382769,dead,False,,-34.745484400656814,none,-18.590632837752544,stable,SELL
2025-10-07,Useless,Useless Coin,5NnL7oRMtVW3ZqAt95gJQs12Fbz2caCYh9rgy1kQpump,0.0001343,27246.53,57438.87,80697.20666666667,-66.23609276521013,dead,False,,-2.539912917271392,none,-32.65794157164261,decreasing,SELL
2025-10-07,T-2049,Token 2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,5.005e-05,7486.2,57161.4,31511.300000000003,-76.24280813549426,dead,False,,-30.49576447715595,none,-0.5180730356281379,stable,SELL
2025-10-07,DETECTIVE,Just can't prove it,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,2.095e-05,6222.82,19320.51,26583.908333333336,-76.5917790492933,dead,False,,-20.311905667554196,none,-23.201452932915544,decreasing,SELL
2025-10-07,SHITTER,SHITTERCOIN,GuLvigFjAm1yyReTk6EeboHNnLj1tCi62pzWLorxbonk,2.431e-05,4135.49,21470.08,24262.69,-82.95535243618906,dead,False,,-10.559234731420164,none,-16.451615664855083,stable,SELL
2025-10-07,1SOL,1 SOL and a dream,8D7n3WYZxUkmhUPveQU4XZdqLfDe4XLEEpPToAk4pump,6.635e-06,1.9,0.0,15.665,-87.87105011171401,dead,False,,38.51774530271399,bearish,-100.0,decreasing,SELL
2025-10-07,PILL,Getpilled,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,6.141e-06,5.39,10161.92,303.2357142857143,-98.22250488775823,dead,False,,-19.819819819819827,none,-2.2958070129895165,stable,SELL
2025-10-07,ELIZABETH,Just Elizabeth Cat,DiiTPZdpd9t3XorHiuZUu4E1FoSaQ7uGN4q9YkQupump,0.001858,47.46,62.4,160764.42714285714,-99.97047854376527,dead,False,,6.050228310502281,bearish,-15.309446254071672,stable,SELL
2025-10-07,early,not wrong just early,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,6.219e-05,121952.78,33999.61,61411.975,98.5814330185603,surging,False,,-69.36453201970443,bullish,-46.76371335500806,decreasing,HOLD
2025-10-07,FALCONS,THE FALCONS,447veSTPUpNG16GxaNFm8tEC8sc5sao5AEkM6amgn55R,5.701e-06,4.4,11007.12,2.5033333333333334,75.76564580559256,surging,False,,-2.497007012142982,none,0.0,stable,HOLD
2025-10-07,IDIOT,IDIOT,GcPf1ZsZHvnjauhXoFvGMmc2gM73aJ63AYxYC6JAQVoG,1.772e-05,1657.63,18671.99,1401.0083333333334,18.316926499366527,stable,False,,-5.543710021321968,none,-2.282841921269398,stable,HOLD
2025-10-07,MOCHI,MOCHI CULT,4ky1REfghVawQ6EPZGdx7zss5KNKStwE8swjii3uU5sD,1.315e-05,301.53,21869.97,299.36,0.7248797434526855,stable,False,,-10.968178740690593,none,-10.299383907269036,stable,HOLD
2025-10-07,RAGEGUY,Rage Guy,GvV7sFu6FHJsSVXfpG7xqFnWar3c7YkcC74rqe7Bpump,0.000986,72542.48,159591.98,78612.73166666667,-7.7217157297188574,stable,False,,10.266159695817478,none,-2.305856801102835,stable,HOLD
2025-10-07,Hosico,Hosico Cat,HovYQgKum9HALgJmxGdESHNjsn3xezzio5HQVgiPHo1t,5.293e-06,462.02,9280.48,513.6483333333333,-10.051299689476263,stable,False,,-18.794108622276774,none,-7.571016247935895,stable,HOLD
2025-10-07,DREAM,Dreamsync,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,0.0017,108179.43,187371.37,129188.03333333333,-16.262035105934736,stable,False,,-5.450500556173521,none,-1.6142144970870214,stable,HOLD
2025-10-07,VIBECODER,Vibe Coding Meta,7PzU4m13VqkdgWcserfBdxX4cAPQXaZuFNuKarnT1deV,0.0001337,10020.62,54762.42,12772.176666666666,-21.543365226444035,declining,False,,-3.8820992092020057,none,-1.5449177866276451,stable,HOLD
2025-10-07,USDUT,unstable tether,3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,0.0002994,59107.12,115185.15,87829.54666666668,-32.70246489564029,declining,False,,-6.728971962616814,none,-24.666217527002836,decreasing,HOLD
2025-10-07,SUPRACOIN,GIVING CAR AWAY AT 10MIL MC!,LGiKAMtb4BuPdhpThjEbNWbDddqdM5FnxMMHqtzpump,9.747e-06,162.71,14046.88,254.71166666666667,-36.11992645278648,declining,False,,-9.414498141263937,none,-5.079541415460137,stable,HOLD
2025-10-07,LION,Loaded Lions,7kN5FQMD8ja4bzysEgc5FXmryKd6gCgjiWnhksjHCFb3,0.01518,26679.12,2067413.77,43352.025,-38.45934532469937,declining,False,,-5.0656660412757955,none,-3.9899694567164135,stable,HOLD
2025-10-07,JIFFPOM,Jiffpom,7Rw4dgDuwESJEcCAbhxAghLcmkXM5QotupWq8PPc1UeC,7.67e-06,16.5,12532.86,28.354999999999997,-41.80920472579791,declining,False,,-3.92083176750595,none,-3.6941353660785623,stable,HOLD
2025-10-07,BULLCOIN,BULLCOIN,4Xs7RvaV3nbWBvb6yWjxvwPKkBxefXe1bPJcvnVspump,5.941e-06,5.75,9890.32,12.741666666666665,-54.87246566383257,dead,False,,-3.9605560944067197,none,-2.0094836691059443,stable,HOLD
