date,address,symbol,signal,score,vol_mom_3v1,vol_mom_5v3,zscore_vol_10d,zscore_liq_10d,vol_3d,liq_3d,presence_7d,presence_30d,current_streak_days,name,top_10_holders_pct,top_5_holders_pct,holder_concentration,concentration_risk
2025-10-05,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,FLY,Watch,1.85,1.3,1.57,1.85,1.23,269.25,5928.686666666666,0,0,0,Nexa,34.58,0.0,low,unknown
2025-10-05,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,Streamless,Watch,1.67,1.64,1.07,1.67,1.01,93.51,10303.66333333333,0,0,0,Streamless coin,95.54,0.0,high,unknown
2025-10-05,HW2B2wvyEir3iqvYbYqbHWyR7rA6DqCR3WQSy4USpump,$CrepSol,Watch,1.51,1.76,1.38,1.51,-0.21,4399.07,21371.84,0,0,0,Crepe on Solana,60.04,0.0,medium,unknown
2025-10-05,6jPg6gSrwtJyHWGTs7tUh2Zs1GzfKzHQNUGfAK1xpump,retail,Watch,1.41,417.12,1.0,-0.75,1.41,141.82,8529.206666666667,0,0,0,retail,99.31,0.0,high,unknown
2025-10-05,4ky1REfghVawQ6EPZGdx7zss5KNKStwE8swjii3uU5sD,MOCHI,Watch,1.39,1.53,1.0,1.39,-1.41,1186.8,23986.25666666667,0,0,0,MOCHI CULT,90.17,0.0,high,unknown
2025-10-05,HovYQgKum9HALgJmxGdESHNjsn3xezzio5HQVgiPHo1t,Hosico,Watch,1.3,5.15,1.82,-0.99,1.3,1419.8,10146.89666666667,0,0,0,Hosico Cat,94.65,0.0,high,unknown
2025-10-05,CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,7,Watch,1.3,68.68,1.05,-0.66,1.3,2038.29,13829.35,0,0,0,7 Coin,94.96,0.0,high,unknown
2025-10-05,99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,MOON,Watch,1.27,29.41,1.83,-1.09,1.27,1817.22,13834.08333333333,0,0,0,Moon Moon,90.06,0.0,high,unknown
2025-10-05,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,Bagwork,Watch,1.26,4.06,1.61,-0.55,1.26,38.02,9766.1,0,0,0,African Bagwork,96.87,0.0,high,unknown
2025-10-05,So11111111111111111111111111111111111111112,wSOL,Watch,1.23,2.68,1.69,0.52,1.23,773044220.45,57264838.73,0,0,0,Wrapped SOL,0.0,0.0,unknown,unknown
2025-10-05,4Xs7RvaV3nbWBvb6yWjxvwPKkBxefXe1bPJcvnVspump,BULLCOIN,Watch,1.21,27.13,1.23,-1.36,1.21,46.12,10195.0,0,0,0,BULLCOIN,96.28,0.0,high,unknown
2025-10-05,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,DETECTIVE,Watch,1.17,8.19,1.05,-0.43,1.17,133334.37,27435.22,0,0,0,Just can't prove it,54.52,0.0,medium,unknown
2025-10-05,Eo2cfEkpeVZrKjRtG34WZc3qzyeZeXjCRGWsEs4JTaNH,MoneyBear,Watch,1.16,1.61,1.0,1.16,-0.47,294.6,10065.73,0,0,0,The Money Bears,99.24,0.0,high,unknown
2025-10-05,CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,AI4,Watch,1.15,2.43,1.33,1.15,-0.37,416212.81,102575.4666666667,0,0,0,AI⁴,50.98,0.0,medium,unknown
2025-10-05,4bLnK5YuJaqkVX4uWtJ1Qtx3XoZ8eHH37STXSwujpump,DARE,Watch,1.12,11.26,1.62,-1.02,1.12,2206.39,14239.78333333333,0,0,0,DareCoin,88.38,0.0,high,unknown
2025-10-05,CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,CHARLIE,Watch,1.08,2.47,1.31,1.08,-1.17,199075.82,124868.31,0,0,0,RIP CHARLIE KIRK,36.11,0.0,low,unknown
2025-10-05,CmLrhRd762bfytq6f3ZV5iuivN1Q8oyPw4evyW4Mbonk,Pochita,Watch,1.05,1.35,1.71,1.05,0.9,113.54,10089.74,0,0,0,Pochita,92.28,0.0,high,unknown
2025-10-05,6UMuZxH9jLT3txQkQo6jWXX2HpHrM1mPkGRjE66pzhEp,FATMEOW,Watch,1.0,1.0,1.0,1.0,1.0,48.57,14247.52,0,0,0,BIG FAT CAT,98.5,0.0,high,unknown
2025-10-05,HJ5HdKrTmvE26k7oKq8JFWvudnzge1gFpe6EKZXUbREV,PROFIT,Watch,1.0,24.33,1.0,-1.0,1.0,10.95,2964.995,0,0,0,Profit Protocol,95.86,0.0,high,unknown
2025-10-04,So11111111111111111111111111111111111111112,wSOL,Watch,1.47,4.6,1.34,-1.59,1.47,758531750.98,56726402.79333333,0,0,0,Wrapped SOL,,0.0,,unknown
2025-10-04,CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,7,Watch,1.41,1.13,1.0,1.41,1.4,2111.13,13095.41,0,0,0,7 Coin,,0.0,,unknown
2025-10-04,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,PILL,Watch,1.41,1.14,1.0,1.41,-1.04,270.85,10657.22,0,0,0,Getpilled,,0.0,,unknown
2025-10-04,2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,NeverDie,Watch,1.41,2.99,1.0,0.01,1.41,19.94,8043.326666666667,0,0,0,MEMES WILL NEVER DIE,,0.0,,unknown
2025-10-04,7ukFzJA7V6f28YieCjXcEXqiK8tAfbyXyvK6b36pump,early,Watch,1.41,1.73,1.0,1.41,-0.73,196039.03,65674.22,0,0,0,not wrong just early,,0.0,,unknown
2025-10-04,3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,walkusa,Watch,1.41,2.93,1.0,0.41,1.41,47391.4,42230.96,0,0,0,WALKING ACROSS AMERICA,,0.0,,unknown
2025-10-04,99YFbXS6iA7s1qkRDTMBXEywtLNmrRtHtGKvNxpKWcdT,MOON,Watch,1.36,17.14,1.0,-1.41,1.36,3270.59,13555.42333333333,0,0,0,Moon Moon,,0.0,,unknown
2025-10-04,GCU5AT6U8bKYK76KBssLf5a3a3KoNoMGStaVdfeipump,Mementoe,Watch,1.29,87.28,1.0,-0.87,1.29,68.08,8455.513333333334,0,0,0,Mementoe,,0.0,,unknown
2025-10-04,4Xs7RvaV3nbWBvb6yWjxvwPKkBxefXe1bPJcvnVspump,BULLCOIN,Watch,1.28,2.06,1.0,1.28,0.24,55.20999999999999,10063.94,0,0,0,BULLCOIN,,0.0,,unknown
2025-10-04,F2yfGhxEi7Hw2mr2XQ3MLrdamiPt2rkdMf8PSyAGpump,Noxi,Watch,1.25,7.4,1.0,-1.13,1.25,85.99000000000001,10035.99333333333,0,0,0,Noxi Labs AI,,0.0,,unknown
2025-10-04,6NVo6X8ouYRVoKRWe7Y9J6CT4pWZXDthSJCBZ3vgUg8z,Bagwork,Watch,1.17,74.99,1.0,-1.39,1.17,51.74,9623.75,0,0,0,African Bagwork,,0.0,,unknown
2025-10-04,4h49bD28nPPLXWB1ZmP8JPuv4iKk3KzFpS8bSmGJpump,MOONCOIN,Watch,1.0,1.19,1.0,1.0,1.0,35.07,8089.389999999999,0,0,0,MOON COIN,,0.0,,unknown
2025-10-04,DHSZ2zaQ2mNtTJFXH3iNUG1oWXr6ZFj4TyfqVdexpump,UPC,Watch,1.0,8.16,1.0,-1.0,1.0,14.03,8263.285,0,0,0,Upcoin,,0.0,,unknown
2025-10-03,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,SOL,Watch,1.41,1.65,1.0,1.41,0.15,13006.36,18579.83333333333,0,0,0,Solana,,0.0,,unknown
2025-10-03,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,FLY,Watch,1.41,3.89,1.0,-1.4,1.41,207.16,3030.483333333334,0,0,0,Nexa,,0.0,,unknown
2025-10-03,EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,obvious,Watch,1.41,50.64,1.0,-0.72,1.41,139.25,9221.643333333332,0,0,0,in hindsight,,0.0,,unknown
2025-10-03,JFjfTn5VJkHpacwz7rbnGXDxRUCySZhZ2EdTkrAmoon,HOODIE,Watch,1.39,1.41,1.0,1.39,-0.72,1027.2,27088.85666666666,0,0,0,Hoodie,,0.0,,unknown
2025-10-03,So11111111111111111111111111111111111111112,wSOL,Watch,1.38,2.67,1.0,1.38,1.38,853098881.08,56307253.00666666,0,0,0,Wrapped SOL,,0.0,,unknown
2025-10-03,AkhHVVk58FmoS8h1fDWzHMZ9YrnqHcZi97mFzhjbpump,KENNY,Watch,1.37,2.36,1.0,0.68,1.37,15.55,8475.456666666667,0,0,0,KENNY KO,,0.0,,unknown
2025-10-03,DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,AI20X,Watch,1.32,24.47,1.0,-1.38,1.32,96.16,2935512.876666666,0,0,0,Ai20x.ai,,0.0,,unknown
