date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak,top_10_holders_pct,top_5_holders_pct,holder_concentration,concentration_risk,volume_7d_avg,volume_change_pct,volume_spike,pv_divergence,liquidity_3d_trend,security_score,mint_authority,freeze_authority,liquidity_locked,risk_level,risk_count
2025-11-11,pibble,pibble,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,4.384e-06,4.84,7326.23,4384.0,dexscreener,ok,0,96.6,92.02,critical,extreme,790.3614285714285,-99.39,normal,none,down,80.0,False,False,True,low,0
2025-11-11,YAO,YAO MING,VnqKnEybGaw6G5ZAdjvPDri5RzDLPXznqxBunG13GJE,8.328e-05,3.48,543.93,83247.0,dexscreener,ok,0,42.61,34.34,low,low,2484.1485714285714,-99.86,normal,none,down,90.0,False,False,True,low,2
2025-11-11,MOCHI,MOCHI CULT,4ky1REfghVawQ6EPZGdx7zss5KNKStwE8swjii3uU5sD,8.833e-06,2.79,15448.06,8829.0,dexscreener,ok,0,94.22,91.78,critical,extreme,216.23857142857145,-98.71,normal,none,down,85.0,False,False,True,low,0
2025-11-11,IDIOT,IDIOT,GcPf1ZsZHvnjauhXoFvGMmc2gM73aJ63AYxYC6JAQVoG,7.228e-06,2.11,10208.38,7226.0,dexscreener,ok,0,92.91,84.23,high,high,916.6028571428571,-99.77,normal,none,down,85.0,False,False,True,low,0
2025-11-11,Streamless,Streamless coin,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,3.622e-06,1.86,6907.26,3608.0,dexscreener,ok,0,97.42,96.46,critical,extreme,16.459999999999997,-88.7,normal,none,down,80.0,False,False,True,low,0
2025-11-11,FLY,Nexa,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,0.02106,1.29,145.57,21070.0,dexscreener,ok,0,27.46,25.65,low,low,44.705714285714286,-97.11,normal,none,down,90.0,False,False,True,low,1
2025-11-11,BULLCOIN,BULLCOIN,4Xs7RvaV3nbWBvb6yWjxvwPKkBxefXe1bPJcvnVspump,4.078e-06,0.66,7065.35,4075.0,dexscreener,ok,0,97.61,96.59,critical,extreme,8.91,-92.59,normal,none,down,80.0,False,False,True,low,1
2025-11-11,USDUT,unstable tether,3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,0.0001226,0.45,39.36,122601.0,dexscreener,ok,0,40.23,33.49,low,low,66739.18857142856,-100.0,normal,none,down,100.0,False,False,True,low,0
2025-11-11,1cat,1 cat can change your life,8ghXDEBVbbYtfdV2cU8jpqsNmiZtDkSjBYmRzj8cpump,4.851e-06,0.41,0.0,4851.93,dexscreener,ok,0,99.91,99.61,critical,extreme,200.29428571428573,-99.8,normal,none,unknown,80.0,False,False,True,low,0
2025-11-11,1% Club,The 1% Club,HpQUbEAcHrhwSJyYfXLNZvJz9SBksRJJStn86gFdbonk,3.33e-06,0.26,6070.17,3330.0,dexscreener,ok,0,98.99,97.98,critical,extreme,378.86600000000004,-99.93,normal,none,down,80.0,False,False,True,low,0
2025-11-11,USEFUL,USEFUL COIN,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,9.615e-05,0.26,34.42,96150.0,dexscreener,ok,0,48.68,41.97,low,low,15001.528571428571,-100.0,normal,none,down,90.0,False,False,True,low,1
2025-11-11,REVIVE,reviving the memes,4Y6HDaV4374KstQX8qD1L35WiQDwHZaHLez8xs6GrKcf,4.228e-06,0.24,8287.19,4226.0,dexscreener,ok,0,98.73,98.27,critical,extreme,18.48857142857143,-98.7,normal,none,down,80.0,False,False,True,low,0
2025-11-11,GAZABOY,GAZA BOY,Fk6e19okXWGxtrHmXBLzkFeDPR2uuyeVYsqGyt89pump,3.078e-06,0.24,6008.66,3076.0,dexscreener,ok,0,99.21,98.81,critical,extreme,43.22,-99.44,normal,none,down,80.0,False,False,True,low,0
2025-11-11,FALCONS,THE FALCONS,447veSTPUpNG16GxaNFm8tEC8sc5sao5AEkM6amgn55R,4.071e-06,0.17,7935.47,4069.0,dexscreener,ok,0,98.53,98.01,critical,extreme,1.9200000000000002,-91.15,normal,none,down,80.0,False,False,True,low,0
2025-11-11,gib,gib,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,0.0001499,0.15,27.13,149915.0,dexscreener,ok,0,47.52,39.26,low,low,19325.179999999997,-100.0,normal,none,down,100.0,False,False,True,low,0
2025-11-11,HAMSTERUN,Hamster Runner,FwYBWjDBDqqfLQYewPZm1Vv555ireHpgUyJP4rMYpump,3.242e-06,0.11,6306.21,3242.0,dexscreener,ok,0,99.24,98.63,critical,extreme,40.43333333333333,-99.73,normal,none,down,80.0,False,False,True,low,0
2025-11-11,viewer,in a streamers world,8X4TnmkHzavxEJuaYTkqjFbUgrwBgaXVuRHhGFR2pump,3.514e-06,0.08,6728.67,3505.0,dexscreener,ok,0,98.05,97.43,critical,extreme,2.8485714285714283,-97.19,normal,none,down,80.0,False,False,True,low,0
2025-11-11,SUPRACOIN,GIVING CAR AWAY AT 10MIL MC!,LGiKAMtb4BuPdhpThjEbNWbDddqdM5FnxMMHqtzpump,4.732e-06,0.02,8298.6,4730.0,dexscreener,ok,0,96.35,94.75,critical,extreme,217.52999999999994,-99.99,normal,none,down,80.0,False,False,True,low,0
