date,median_price,total_volume,total_liquidity,token_count,price_change_1d,price_change_3d,price_change_7d,volume_ma_7d,volume_ratio,volatility_7d,regime_score,regime
2025-10-01,2.1605e-05,261544513.13000003,64651005.269999996,66,,,,,,,0,Unknown
2025-10-02,1.5799999999999998e-05,276124497.45,60966410.099999994,50,-0.26868780374913226,,,,,,0,Unknown
2025-10-03,1.1164999999999999e-05,321086835.28000003,63920204.43,50,-0.29335443037974684,,,286251948.62,1.1216930948636101,,0,Unknown
2025-10-04,1.067e-05,166068077.34,65739291.71,79,-0.044334975369458074,-0.5061328396204583,,256205980.8,0.6481818893269884,0.1372062456334228,0,Unknown
2025-10-05,1.013e-05,289288917.94,65124286.16,81,-0.05060918462980313,-0.3588607594936708,,262822568.228,1.100700441327169,0.13523936409133727,0,Unknown
2025-10-06,1.1295e-05,331697677.2,66608741.89,74,0.11500493583415605,0.01164352888490816,,274301753.0566667,1.2092437335689665,0.17121199750323096,0,Unknown
2025-10-07,1.037e-05,409864578.37,62476406.98,74,-0.08189464364763155,-0.028116213683223923,,293667870.95857143,1.3956738802800355,0.15351838553016503,0,Unknown
2025-11-08,0.0001062,149726709.5,45833327.71,27,9.241080038572806,9.483711747285293,3.915528812774821,277693899.01142853,0.5391789646579849,3.5348795568029985,-20,Sideways
