date,symbol,name,address,price_usd,volume_24h_usd,liquidity_usd,fdv_usd,source,data_status,missing_streak,top_10_holders_pct,top_5_holders_pct,holder_concentration,concentration_risk,volume_7d_avg,volume_change_pct,volume_spike,pv_divergence,liquidity_3d_trend,security_score,mint_authority,freeze_authority,liquidity_locked,risk_level,risk_count,export_date
2025-11-12,obvious,in hindsight,EzcwA7anSrdoH1TMKjbBTd91GD7KwMco9kFZh1AApump,3.567e-06,17.76,6441.02,3565,dexscreener,ok,0,97.75,96.92,critical,extreme,22.41285714285714,-20.76,normal,none,down,80,False,False,True,low,1,2025-11-12
2025-11-12,IDIOT,IDIOT,GcPf1ZsZHvnjauhXoFvGMmc2gM73aJ63AYxYC6JAQVoG,6.775e-06,12.68,9593.5,6773,dexscreener,ok,0,93.1,84.42,high,high,918.1128571428573,-98.62,normal,none,down,85,False,False,True,low,0,2025-11-12
2025-11-12,YAO,YAO MING,VnqKnEybGaw6G5ZAdjvPDri5RzDLPXznqxBunG13GJE,8.658e-05,11.37,547.06,86539,dexscreener,ok,0,42.11,33.83,low,low,2486.584285714286,-99.54,normal,none,down,90,False,False,True,low,2,2025-11-12
2025-11-12,MMGA,MAKE MEMES GREAT AGAIN,Axix4KAvD9m5iYvUx7wztZnKJfJs7KXxPzPmMv6Npump,2.854e-06,5.63,5625.19,2851,dexscreener,ok,0,99.46,99.0,critical,extreme,12.226,-53.95,normal,none,down,80,False,False,True,low,2,2025-11-12
2025-11-12,REVIVE,reviving the memes,4Y6HDaV4374KstQX8qD1L35WiQDwHZaHLez8xs6GrKcf,4.03e-06,1.85,7901.97,4028,dexscreener,ok,0,98.77,98.31,critical,extreme,18.47857142857143,-89.99,normal,none,down,80,False,False,True,low,0,2025-11-12
2025-11-12,pibble,pibble,GS3pHMUtYSu5PPuDFey74frkiRQhPdvx8jEeN6Qzbonk,4.381e-06,1.17,7323.87,4381,dexscreener,ok,0,96.63,92.04,critical,extreme,789.8371428571428,-99.85,normal,none,down,80,False,False,True,low,0,2025-11-12
2025-11-12,FLY,Nexa,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,0.01906,1.06,5806.52,19061,dexscreener,ok,0,27.46,25.64,low,low,44.57714285714286,-97.62,normal,none,down,90,False,False,True,low,1,2025-11-12
2025-11-12,gib,gib,6FtbGaqgZzti1TxJksBV4PSya5of9VqA9vJNDxPwbonk,0.0001439,0.5,26.58,143909,dexscreener,ok,0,47.26,39.0,low,low,13319.18571428572,-100.0,normal,none,down,100,False,False,True,low,0,2025-11-12
2025-11-12,1% Club,The 1% Club,HpQUbEAcHrhwSJyYfXLNZvJz9SBksRJJStn86gFdbonk,3.33e-06,0.26,6070.17,3330,dexscreener,ok,0,98.99,97.98,critical,extreme,315.765,-99.92,normal,none,down,80,False,False,True,low,0,2025-11-12
2025-11-12,USEFUL,USEFUL COIN,HD3JBABeFkdZwUgKwhwJYqjLNrPWXEaDVfH4uMqRpump,9.251e-05,0.25,32.56,92512,dexscreener,ok,0,48.93,42.11,low,low,15001.49571428571,-100.0,normal,none,down,90,False,False,True,low,1,2025-11-12
2025-11-12,GAZABOY,GAZA BOY,Fk6e19okXWGxtrHmXBLzkFeDPR2uuyeVYsqGyt89pump,3.078e-06,0.24,6008.66,3076,dexscreener,ok,0,99.21,98.81,critical,extreme,34.624,-99.31,normal,none,down,80,False,False,True,low,1,2025-11-12
2025-11-12,USDUT,unstable tether,3vz82EWYv8xnc7Cm7qSgERcpMeqw92PcX8PBz88npump,0.0001226,0.21,39.36,122601,dexscreener,ok,0,40.28,33.54,low,low,66738.94428571429,-100.0,normal,none,down,100,False,False,True,low,0,2025-11-12
2025-11-12,FALCONS,THE FALCONS,447veSTPUpNG16GxaNFm8tEC8sc5sao5AEkM6amgn55R,4.071e-06,0.17,7935.47,4069,dexscreener,ok,0,98.53,98.01,critical,extreme,1.57,-89.17,normal,none,down,80,False,False,True,low,0,2025-11-12
2025-11-12,Streamless,Streamless coin,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,3.362e-06,0.16,6412.89,3349,dexscreener,ok,0,97.43,96.47,critical,extreme,16.14142857142857,-99.01,normal,none,down,80,False,False,True,low,0,2025-11-12
2025-11-12,HAMSTERUN,Hamster Runner,FwYBWjDBDqqfLQYewPZm1Vv555ireHpgUyJP4rMYpump,3.242e-06,0.11,6306.21,3242,dexscreener,ok,0,99.24,98.64,critical,extreme,30.3525,-99.64,normal,none,down,80,False,False,True,low,0,2025-11-12
2025-11-12,BLUB,Blub,HxMQWY4DLbUrPXyejuKvu2KJ618zdTRs9dXEuFGrpump,3.262e-06,0.05,6109.05,3159,dexscreener,ok,0,98.05,97.28,critical,extreme,19.595,-99.74,normal,none,down,80,False,False,True,low,1,2025-11-12
