date,address,symbol,vol_1d,vol_3d,vol_5d,vol_10d,liq_1d,liq_3d,liq_5d,vol_mom_3v1,vol_mom_5v3,liq_mom_3v1,zscore_vol_10d,zscore_liq_10d
2025-10-01,9NcUwy9JVekfsY4UA62ZaTprn4TDnJZwp5B6vMAAtkzt,FLY,74.93,74.93,74.93,74.93,135.9,135.9,135.9,1.0,1.0,1.0,0.0,0.0
2025-10-01,9h5y3WCqfeNt2fiAP7iM2ZRp9apFb58ipvTzcWi9pump,AUSBAGWORK,864.15,864.15,864.15,864.15,23195.42,23195.42,23195.42,1.0,1.0,1.0,0.0,0.0
2025-10-01,9n4nbM75f5Ui33ZbPYXn59EwSgE8CGsHtAeTH5YFeJ9E,SOL,2850.38,2850.38,2850.38,2850.38,14676.54,14676.54,14676.54,1.0,1.0,1.0,0.0,0.0
2025-10-01,9zFU5vR7YNBzZU8HwJLUKjoDEonpgvHUdLbMgBa7pump,FARTWORM,2157.62,2157.62,2157.62,2157.62,18082.41,18082.41,18082.41,1.0,1.0,1.0,0.0,0.0
2025-10-01,A8YHuvQBMAxXoZAZE72FyC8B7jKHo8RJyByXRRffpump,XBT,276665.81,276665.81,276665.81,276665.81,477817.5,477817.5,477817.5,1.0,1.0,1.0,0.0,0.0
2025-10-01,AMKKkovbUqr5cxmsg22KxTgaRXq6z4f8umrze4JKpump,RUECAT,57889.22,57889.22,57889.22,57889.22,104399.63,104399.63,104399.63,1.0,1.0,1.0,0.0,0.0
2025-10-01,AkhHVVk58FmoS8h1fDWzHMZ9YrnqHcZi97mFzhjbpump,KENNY,2.26,2.26,2.26,2.26,8259.79,8259.79,8259.79,1.0,1.0,1.0,0.0,0.0
2025-10-01,B9zze29or7CJs1nBrigSCWSibfxvkmieFXcGg5cxbonk,DREAM,116997.28,116997.28,116997.28,116997.28,191646.88,191646.88,191646.88,1.0,1.0,1.0,0.0,0.0
2025-10-01,BVvSqvTb9ZVNEkP5UsamR1egAWSGEZiQDU42FS7mmoon,CRND,51367.27,51367.27,51367.27,51367.27,74920.63,74920.63,74920.63,1.0,1.0,1.0,0.0,0.0
2025-10-01,C8Hyu6bjPtuaTJ4Fj6V6L99rhUkkCuKByNZTyXiCpump,Streamless,6.34,6.34,6.34,6.34,9441.14,9441.14,9441.14,1.0,1.0,1.0,0.0,0.0
2025-10-01,CAamcXXVWM8b8DcpcT2rpEwwfNfBD2MXjHjCwRDBpump,7,102.52,102.52,102.52,102.52,12495.07,12495.07,12495.07,1.0,1.0,1.0,0.0,0.0
2025-10-01,CEqFiJoB6HLncfeieBw3PKKm9wyqrpSHV3VH4qZApump,CHARLIE,62131.44,62131.44,62131.44,62131.44,129122.01,129122.01,129122.01,1.0,1.0,1.0,0.0,0.0
2025-10-01,CZkxnM5PNPak31JSFNzJ76CWcYRu4mgxvBwcHaBJpump,AI4,137942.87,137942.87,137942.87,137942.87,126267.14,126267.14,126267.14,1.0,1.0,1.0,0.0,0.0
2025-10-01,DKffyw1oEVWR3ik7q7tb2shhmZ3jbTkRzT6R5banCxai,AI20X,51.32,51.32,51.32,51.32,2856793.86,2856793.86,2856793.86,1.0,1.0,1.0,0.0,0.0
