symbol,$CrepSol,1,19,1Bull,1dog,1nu,67,7,AI20X,AI4,APOLLO,AUSBAGWORK,BAR,BLUB,BULLCOIN,Bagwork,CHARLIE,CRND,DETECTIVE,DREAM,ELIZABETH,FARTLESS,FARTWORM,FLY,HAROLD,HOODIE,Hosico,IDIOT,LION,MOON,Noxi,PILL,Pochita,RAGEGUY,REVIVE,RUECAT,RWA,SHITTER,SOL,SUPRACOIN,Streamless,T-2049,USDUT,USEFUL,Useless,VIBECODER,XBT,YAO,early,gib,grandma,obvious,pibble,viewer,wSOL,walkusa
$CrepSol,1.0,-0.6365692482982795,0.43754507327930287,0.9240757575823076,0.7182909540919427,0.4394387221298325,0.3832569545911868,0.6632390876144094,0.8717592071531046,0.36672226850705714,0.08882573560037003,0.5215289779953617,0.5687707977558192,0.9187915894800507,0.44323316962755643,0.3266921080482838,0.7465795846959241,-0.05436397951556836,-0.319442166038171,0.8597945502649261,0.6513297694225244,0.9821600572215707,0.5001770140058528,-0.7199963874050547,0.2611830729249337,0.5216873046861137,0.46303747821088503,0.771633408492207,0.8024646495984542,0.04134455020402827,0.4211083523794331,0.3812536580469803,0.3156705797521959,0.668175185862864,0.922026876406437,0.9042649162707278,0.007070949508972686,-0.17675116200966567,-0.43262855466781946,0.5585575195398954,0.7686788150290473,0.9245135910746667,0.6231093312393227,0.4690676382327086,-0.3520980148286635,0.7253133614251163,0.3378066726601722,0.8232877157539883,0.604625452530666,0.31005259960520837,0.5712404741129932,0.8615425000546134,0.11666385468528218,0.4801024137098228,0.8524876827820099,0.03687654025337933
1,-0.6365692482982795,1.0,0.014510613347238025,-0.8054392482819374,0.4487799644097806,-0.20668882789109796,0.27011429524991537,-0.937363926123287,-0.8314338108044251,-0.21674174849878758,-0.2665068514202172,-0.6874002642312544,-0.279850729588762,-0.8867975265466008,-0.33577551432010505,-0.780737652272953,-0.24689038990298323,0.04107852931015453,-0.8223896653125646,-0.7142080306596048,-0.9091706759598097,-0.699207897730389,0.4280575894113927,0.6818116641521629,-0.1409693513845634,-0.42787706680864135,-0.5472480178374722,-0.8825307507318731,-0.8835814802424489,-0.5016177402711897,-0.7202987754168746,0.5464956838619817,0.05288623672523471,-0.4932124346058702,-0.8708864281664069,-0.7888785629385492,-0.23429915772154333,0.8377377964974744,0.5818148602001891,-0.09126518761033826,-0.9213851239693952,0.44002670217439505,-0.7293228049659315,-0.6340410678590742,0.19487520643681094,0.48101089502671546,-0.610908539231304,-0.5908055995259326,-0.7022569328720645,-0.7785904491502159,0.4824357388734928,-0.832265540480945,-0.5165819005237986,0.4774993267842782,-0.8592490590471581,-0.059126177981368995
19,0.43754507327930287,0.014510613347238025,1.0,0.3959475751793682,0.8054708023902467,-0.2933902855361591,0.8195838330244762,-0.2652098504008376,0.4844256051101118,0.16342101766990932,-0.8101149032485875,-0.27543515201056923,0.99841123965611,0.00828337756623923,0.6628579430633276,0.0837402281911326,0.9797280852591682,0.8194920751739199,0.9121053992442261,0.6241850881973927,-0.003172718586111436,0.302179299871019,0.4678125231077134,-0.6642586046304274,0.6723712842637675,0.5524054511194456,0.34486689986662716,-0.18317321333085,0.2708743319816309,-0.4917178977554142,0.08785482403621706,0.9090494782447615,0.8658965888146868,0.6071757962024666,0.2595546301598043,0.39803293365684983,-0.965665061047062,0.4504724993224,-0.20587893901130183,0.7936665422147786,-0.09781478444291952,0.9118309951374038,-0.3290895625814343,0.43136024309445764,-0.9843530662373152,0.7803619305025726,-0.21733639860069057,0.47136867959296574,0.47077574145606105,0.3435548731981654,0.03098884157028561,0.4693122397631756,-0.7240023168834165,0.9991337601758329,0.35055524814266115,-0.8147932886597113
1Bull,0.9240757575823076,-0.8054392482819374,0.3959475751793682,1.0,0.7654085467913425,0.2924286964496434,0.6668040468832376,0.7957587730983926,0.9630567510320713,0.4644475033279912,-0.032461814845941815,0.6086648016434514,0.9259912866462072,0.9339141425961668,0.7476663891806777,0.31883805868800086,0.9902474889293692,0.4022282269574466,0.22048817646187888,0.9450678031429279,0.8060397888144543,0.9255790790252857,0.7000531269254068,-0.8931086812010293,0.40038402828023045,0.7858534858237385,0.5239652452986923,0.8274314515658258,0.911862824681745,-0.20661096424503525,0.37881795948903674,0.5746114888811543,0.6821081432018901,0.7752558893917417,0.9219225979672383,0.92488959804244,-0.15890958471500702,-0.3585958257454637,-0.6156032582860418,0.6658407016894289,0.901391740332596,0.7677004088046034,0.7323920250233423,0.7288544604243279,-0.7864863217044087,0.7482279206017103,0.5219836522810554,0.9069449148439944,0.6998912671985069,0.6451044194774549,0.01201250431854849,0.9582251155038314,0.08772338184762148,0.5500737367520516,0.9394468085071102,-0.41186321113773666
1dog,0.7182909540919427,0.4487799644097806,0.8054708023902467,0.7654085467913425,1.0,0.6491378376763088,0.8365879316149217,-0.8931977120339148,0.9617521163102757,0.7004625299935605,-0.2728071491278908,-0.006560534423812658,0.7300318369988024,0.8011278359535091,0.25833327957949065,0.04045190414792728,0.79126396777354,0.4467350246263754,0.37811299196633025,0.7918122811052141,0.007450038613289766,0.5867388658218011,0.9593830070080294,0.09210392443289905,0.23686973946671233,0.29545997918801503,-0.12377178513252618,0.5413296256710267,0.02295883825798567,-0.6921686869254092,-0.015819687632741965,0.984981385392483,0.6075808628638131,0.7162910475781444,0.9993534678902355,0.3570099268639476,0.6431924007734214,0.86527043848137,0.16182543907786232,0.26367267190969135,0.4984017228833646,0.9131548444953729,0.47400807199708966,0.5298589762277373,0.3936325317886371,0.9671514935334949,-0.08137369333242897,0.9694594258372985,0.34021054060242567,-0.12640530142723286,0.18964381721532733,0.4819900063298327,-0.8141003193790689,0.8829483876742749,0.5102214775047175,-0.4574885229328708
1nu,0.4394387221298325,-0.20668882789109796,-0.2933902855361591,0.2924286964496434,0.6491378376763088,1.0,0.668081047228397,0.0936376710583848,0.22831945899066255,0.6281307983973224,0.7254905286367342,-0.13087628250733904,0.7222935184872864,0.15077770852034592,0.4364493473239691,0.7741487539219111,0.9060679046373377,-0.021250170626017657,0.635589576651145,0.044882446204300847,0.18642579605167964,0.5474672437113035,0.21378186661276505,0.3035744070384329,-0.6897445402219589,0.49057134738045083,0.5734700796496918,0.2429452453031514,-0.005513320167018346,-0.02433748713239485,0.742483665138934,0.13422382449405265,0.10688194393500355,-0.3255916070880058,-0.21825485998868138,0.5047502425353281,0.5654840962733646,0.20640757089750117,0.39830113477081364,0.343873800982818,0.29212533335626484,0.79474531371946,0.3395993970903236,0.15829736535910371,0.5452850618968272,0.7089344436200794,-0.1590839207083793,0.5359469881899099,0.934503779843292,0.0026241981009795636,0.15908956601095858,0.1710158085961896,-0.4198829391583077,-0.04276344380468499,0.18494383137355502,0.021710381746432455
67,0.3832569545911868,0.27011429524991537,0.8195838330244762,0.6668040468832376,0.8365879316149217,0.668081047228397,1.0,-0.6213076423909765,0.8891475943077453,0.8311722217419965,-0.4520562360903114,0.08441962947321184,0.6160533126596226,0.6314231306634104,0.26671168946671064,0.2588726290865643,0.9172741213378448,0.3807953922212013,0.7969223113251727,0.6100379214316091,0.5481504885172567,0.2498484123038025,0.9807367497227717,0.4475232143418843,0.3575767513399321,0.2561053091743846,-0.2658053360194574,0.2481812896076519,-0.2135444856875231,-0.6673567239670819,0.10034115104710965,0.9050594105788793,0.7231945723265166,0.6996308673447723,0.998189972442813,0.18700352776901613,0.8637766699304423,0.8216953812456855,0.13592857132491845,0.06960428837724943,0.8417402675982105,0.8300965955701957,0.7964917082614605,0.8674456915703642,0.7536483454500955,0.928955749602623,0.006787748952329584,0.8446430005557464,0.43261242927716703,0.212717392490266,-0.2647619136646721,0.2976927859990827,-0.9956278046914541,0.6187624104055576,0.40576791423868497,-0.3785324956017352
7,0.6632390876144094,-0.937363926123287,-0.2652098504008376,0.7957587730983926,-0.8931977120339148,0.0936376710583848,-0.6213076423909765,1.0,0.9102081388167927,-0.04113060747880224,0.29098719828251696,0.8706203838067843,-0.5901033003547279,0.915665165150976,0.013441274494769414,0.40645571679500403,-0.45766224098668534,-0.6432555178413696,-0.054441774209566605,0.8529177055910122,0.9545251504630483,0.6721232992469801,-0.9644139039123206,-0.6692294985306824,0.45060614984360925,0.00681933612108271,0.43051727176457566,0.9545141922764264,0.9719208899177076,0.8500616330352523,0.433641860188121,-0.8685138428413872,-0.44343507018549505,0.7550593356280128,0.9622840954903474,0.7068775441051612,-0.48320834270813784,-0.6040674664151239,-0.7693363416945074,0.05582690956020724,0.9493050387615226,-0.6648838014721535,0.7205867250510071,0.6501916658857229,-0.0637163748859321,-0.7840972066004448,0.7461834025167519,0.5711901605527803,0.0839073314122811,0.7021790450037624,-0.10465413132616741,0.9152601964201644,0.3341236285025561,-0.6992863498993946,0.9424111402167432,0.6580673630484807
AI20X,0.8717592071531046,-0.8314338108044251,0.4844256051101118,0.9630567510320713,0.9617521163102757,0.22831945899066255,0.8891475943077453,0.9102081388167927,1.0,0.2457353986983098,-0.17760841920617573,0.8172322389062264,0.8733166782960966,0.9969204190216022,0.8359919826163689,0.01246499128851206,0.9164268674425878,0.7126749043372795,0.5353517702022712,0.98095243212709,0.914484283473284,0.8630882283464376,0.8911566619880362,-0.7046363690975829,0.6262783720958474,0.6779624920793801,-0.06537184950940492,0.8284081843754773,0.9809092586923792,-0.9919008038548733,-0.3747680788919436,0.982757571836825,0.9320363185217174,0.9087795529518717,0.98933062637092,0.9607859287388552,-0.2572162843882458,-0.22575816259295217,-0.9524069048772985,0.9336132871270997,0.9879638492606498,0.8555005495822063,0.8202731813573586,0.8295599746917998,0.3875915731211381,0.9381274616013093,0.8888447900838653,0.8550124853723923,0.8372584626328753,0.7232260372520654,-0.16435228165105994,0.9927324988344498,-0.08432908569533068,0.8971836614709426,0.9904136245658665,-0.7199409947575686
AI4,0.36672226850705714,-0.21674174849878758,0.16342101766990932,0.4644475033279912,0.7004625299935605,0.6281307983973224,0.8311722217419965,-0.04113060747880224,0.2457353986983098,1.0,0.10814166541612964,-0.0516958841327476,0.9927973390664455,0.215912673084339,0.580000240368197,0.07991047158344337,0.9324902090091752,0.7654440528196154,0.5501175735455477,0.28261568046025276,0.06125950113233604,0.4600912079397701,0.7372447753546518,-0.3853167770350699,-0.12217102211873677,0.6040167211051688,0.2339380978984829,0.17784210411447096,0.10374054860375392,-0.4981637558509221,0.1012545875712592,0.4294726670703262,0.5874294549117393,0.10248373239818077,0.095341814730538,0.45469654210802657,0.06487843849488108,0.026787145164067376,0.08605317979434063,0.31948044029683864,0.15016364219414305,0.49534079003103376,-0.08517911843399194,0.24573173832664735,-0.9831498451247207,0.669509277479589,0.03532532650268352,0.6374745235965938,0.48117771875334414,0.3579003775137052,-0.4253079182879231,0.23775693664880465,-0.43394020190313487,0.2334027182624792,0.14774508185270188,-0.7681256353153321
